Order,Name,Kind,Gateway,Created At,Status,Amount,Currency,Card Type,Payment Method
6539732517027,#2400,sale,Secure Payments via PayMongo,2025-12-10 22:16:41 +0800,success,360.00,PHP,"",""
6541225820323,#2401,sale,Bank Deposit,2025-12-11 13:36:38 +0800,pending,937.65,PHP,"",""
6541225820323,#2401,sale,Bank Deposit,2026-04-13 17:52:30 +0800,success,937.65,PHP,"",""
6541789397155,#2402,sale,Bank Deposit,2025-12-11 21:58:46 +0800,pending,3948.00,PHP,"",""
6542914879651,#2403,sale,Bank Deposit,2025-12-12 08:08:40 +0800,pending,5685.00,PHP,"",""
6542914879651,#2403,sale,Bank Deposit,2025-12-26 22:22:44 +0800,success,5685.00,PHP,"",""
6543281291427,#2404,sale,Bank Deposit,2025-12-13 14:23:57 +0800,success,15349.50,PHP,"",""
6543344533667,#2405,sale,Bank Deposit,2025-12-12 13:08:15 +0800,success,3500.00,PHP,"",""
6547552239779,#2406,sale,Bank Deposit,2025-12-14 07:35:24 +0800,pending,3828.00,PHP,"",""
6547552239779,#2406,sale,Bank Deposit,2026-03-06 17:15:19 +0800,success,3828.00,PHP,"",""
6547674005667,#2407,sale,Secure Payments via PayMongo,2025-12-14 08:48:27 +0800,success,6140.00,PHP,"",""
6548344701091,#2408,sale,Bank Deposit,2025-12-14 17:48:01 +0800,pending,1516.00,PHP,"",""
6548344701091,#2408,sale,Bank Deposit,2026-03-06 17:15:20 +0800,success,1516.00,PHP,"",""
6549907669155,#2409,sale,Secure Payments via PayMongo,2025-12-15 09:36:18 +0800,success,4972.00,PHP,"",""
6550720282787,#2410,sale,Bank Deposit,2025-12-15 19:50:14 +0800,success,7475.30,PHP,"",""
6552877334691,#2411,sale,Bank Deposit,2025-12-17 19:14:22 +0800,success,3330.00,PHP,"",""
6553267404963,#2412,sale,Secure Payments via PayMongo,2025-12-16 22:53:56 +0800,success,858.00,PHP,"",""
6555008041123,#2413,sale,Bank Deposit,2025-12-27 11:08:01 +0800,success,9666.70,PHP,"",""
6555068727459,#2414,sale,Bank Deposit,2025-12-18 18:38:02 +0800,success,6726.00,PHP,"",""
6557111713955,#2415,sale,Bank Deposit,2025-12-18 17:33:44 +0800,success,1299.00,PHP,"",""
6557111713955,#2415,sale,manual,2025-12-18 17:35:00 +0800,success,1299.00,PHP,"",""
6560729170083,#2416,sale,manual,2025-12-24 09:05:36 +0800,success,1562.75,PHP,"",""
6560774291619,#2417,sale,manual,2026-03-06 17:17:50 +0800,success,7091.00,PHP,"",""
6568518451363,#2419,sale,Bank Deposit,2025-12-23 08:33:25 +0800,success,7990.00,PHP,"",""
6568559804579,#2420,sale,manual,2025-12-26 22:11:17 +0800,success,479.40,PHP,"",""
6568879685795,#2421,sale,Bank Deposit,2026-05-02 18:18:57 +0800,success,4235.65,PHP,"",""
6573057736867,#2422,sale,Secure Payments via PayMongo,2025-12-26 01:25:41 +0800,success,2627.00,PHP,"",""
6573754024099,#2423,sale,Bank Deposit,2026-04-27 14:28:00 +0800,success,625.10,PHP,"",""
6580368933027,#2424,sale,Bank Deposit,2025-12-30 10:56:12 +0800,success,29484.00,PHP,"",""
6588816359587,#2425,sale,Secure Payments via PayMongo,2026-01-04 16:29:59 +0800,success,1179.00,PHP,"",""
6594862088355,#2426,sale,Bank Deposit,2026-01-08 14:22:39 +0800,pending,2869.00,PHP,"",""
6594862088355,#2426,sale,Bank Deposit,2026-04-16 16:12:51 +0800,success,2869.00,PHP,"",""
